timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
60788.69;-1168;559;0;0;0;44.83374008382757;1;1
60805.658;-1158;549;0;0;0;45.36138184262322;1;1
60806.642;-1129;521;0;0;0;46.92335542963556;1;1
60808.636;-1121;512;0;0;0;47.38698095350503;1;1
60813.275;-1113;504;0;0;0;47.81966589792349;1;1
60816.727;-1106;495;0;0;0;48.253811098338176;1;1
60821.234;-1099;486;0;0;0;48.68646601226866;1;1
60825.28;-1091;477;0;0;0;49.147045218241935;1;1
60828.673;-1084;467;0;0;0;49.608410121990374;1;1
60832.667;-1077;457;0;0;0;50.068864557363426;1;1
60837.235;-1069;447;0;0;0;50.55582498872221;1;1
60841.141;-1062;437;0;0;0;51.01619073611185;1;1
60845.13;-1054;427;0;0;0;51.503736513897266;1;1
60849.095;-1047;419;0;0;0;51.90903203735061;1;1
60853.094;-1040;410;0;0;0;52.34158044183305;1;1
60856.638;-1033;404;0;0;0;52.692530811847845;1;1
60861.246;-1028;396;0;0;0;53.041867586358435;1;1
60865.238;-1024;390;0;0;0;53.30987516289356;1;1
60869.29;-1023;389;0;0;0;53.35871627634678;1;1
60872.571;-1021;387;0;0;0;53.463423832154746;1;1
60876.758;-1020;385;0;0;0;53.53941226097431;1;1
60881.315;-1020;383;0;0;0;53.587471873077284;1;1
60885.289;-1020;383;0;0;0;53.58164420939915;1;1
60888.993;-1020;382;0;0;0;53.603576351809544;1;1
60893.276;-1019;382;0;0;0;53.624654558730384;1;1
60952.848;-1019;380;0;0;0;53.59202603097455;1;1
60956.837;-1019;380;0;0;0;53.58618730535576;1;1
60960.823;-1019;379;0;0;0;53.60766329056727;1;1
60964.816;-1019;378;0;0;0;53.629124349992615;1;1
60968.909;-1019;377;0;0;0;53.65043424770692;1;1
60985.182;-1019;377;0;0;0;53.62660783623105;1;1
61049.289;-1019;376;0;0;0;53.560193170857424;1;1
61053.284;-1019;375;0;0;0;53.581604756804346;1;1
61057.275;-1019;374;0;0;0;53.60301752303888;1;1
61061.364;-1017;372;0;0;0;53.70598533053147;1;1
61065.323;-1016;370;0;0;0;53.78188935859011;1;1
61068.918;-1014;368;0;0;0;53.88553949009522;1;1
61072.865;-1013;366;0;0;0;53.96142618361407;1;1
61076.889;-1011;365;0;0;0;54.03718329888974;1;1
61080.877;-1008;362;0;0;0;54.19463626620678;1;1
61084.857;-1006;360;0;0;0;54.29763317025263;1;1
61088.858;-1003;358;0;0;0;54.42779056861094;1;1
61092.81;-1000;355;0;0;0;54.585203339134175;1;1
61097.223;-996;352;0;0;0;54.76910333672804;1;1
61100.866;-993;348;0;0;0;54.95411032532779;1;1
61104.856;-988;343;0;0;0;55.220166339462246;1;1
61108.845;-984;341;0;0;0;55.377369711478195;1;1
61112.837;-981;337;0;0;0;55.561730592074014;1;1
61116.824;-977;333;0;0;0;55.77325222508355;1;1
61120.813;-972;328;0;0;0;56.03910545273547;1;1
61124.834;-970;326;0;0;0;56.141728365927705;1;1
61128.792;-966;322;0;0;0;56.35316257862938;1;1
61132.786;-963;319;0;0;0;56.51013314483213;1;1
61136.771;-960;317;0;0;0;56.63990503629588;1;1
61140.763;-959;314;0;0;0;56.74246251254047;1;1
61145.285;-957;312;0;0;0;56.84417910035718;1;1
61149.277;-956;311;0;0;0;56.892352252340785;1;1
61153.091;-955;310;0;0;0;56.940790298506386;1;1
