timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
16892.238;-699;-64;0;0;0;1260.7298224861281;1;1
16896.241;-694;-64;0;0;0;1260.6099195366296;1;1
16900.241;-689;-63;0;0;0;1263.043400915897;1;1
16904.239;-685;-62;0;0;0;1262.918498988659;1;1
16908.228;-680;-64;0;0;0;1257.8428368963912;1;1
16912.214;-675;-64;0;0;0;1257.8088969015973;1;1
16916.206;-671;-63;0;0;0;1257.7571869222559;1;1
16920.194;-668;-61;0;0;0;1257.7186435020692;1;1
16925.18;-665;-62;0;0;0;1247.511549041304;1;1
16928.174;-663;-62;0;0;0;1243.3944668946224;1;1
16932.162;-662;-61;0;0;0;1236.43971181082;1;1
16936.152;-661;-61;0;0;0;1227.2796078294384;1;1
16940.139;-660;-61;0;0;0;1218.296599844944;1;1
16944.129;-660;-60;0;0;0;1209.469068228688;1;1
17136.303;-660;-60;0;0;0;840.2747333041063;1;1
17144.275;-660;-60;0;0;0;829.7674768794469;1;1
17148.266;-663;-58;0;0;0;823.0465504529095;1;1
17153.252;-663;-57;0;0;0;818.2457985630429;1;1
17156.247;-665;-56;0;0;0;812.9330254041571;1;1
17160.235;-665;-55;0;0;0;809.5022402859731;1;1
17164.225;-666;-54;0;0;0;804.5896592737704;1;1
17168.212;-666;-53;0;0;0;801.2517669113256;1;1
17172.203;-668;-52;0;0;0;794.943617609579;1;1
17176.191;-669;-51;0;0;0;790.2079934990828;1;1
17180.186;-671;-49;0;0;0;785.5202921125745;1;1
17184.168;-672;-48;0;0;0;780.9028654263744;1;1
17189.158;-673;-46;0;0;0;776.6580550430753;1;1
17192.148;-674;-43;0;0;0;776.1879542049106;1;1
17196.138;-678;-40;0;0;0;770.2450423634774;1;1
17200.128;-680;-38;0;0;0;765.812734989854;1;1
17204.117;-681;-36;0;0;0;762.8661972840815;1;1
17208.109;-683;-34;0;0;0;758.5241287665998;1;1
17212.095;-684;-33;0;0;0;754.2376245484498;1;1
17216.085;-685;-31;0;0;0;751.4048309832548;1;1
17220.076;-687;-29;0;0;0;747.2008007525279;1;1
17224.064;-689;-27;0;0;0;743.0466585902747;1;1
17228.053;-690;-26;0;0;0;738.9374273886533;1;1
17232.04;-692;-24;0;0;0;734.8754227601811;1;1
17236.033;-695;-21;0;0;0;730.8518194508054;1;1
17241.018;-698;-19;0;0;0;724.5281374315477;1;1
17244.009;-702;-15;0;0;0;721.5887974695563;1;1
17248.0;-705;-12;0;0;0;717.7036720256107;1;1
17251.986;-710;-8;0;0;0;712.5230966173268;1;1
